                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.8397,                  3.651,                 1.7909,                0.58909,                0.22111,                0.26537,                0.17768,                 1.6604,                 2.8506,                 1.6976,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     34,                 1.9091,                 3.6193,                 1.7904,                0.60853,                 0.2288,                0.26978,                0.18152,                 1.6353,                 2.8048,                 1.6718,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     35,                 1.7889,                 3.6319,                 1.7932,                0.59503,                0.23142,                0.27662,                0.18687,                 1.6117,                 2.7539,                 1.6447,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     36,                  1.823,                 3.8202,                 1.8063,                0.58799,                0.24118,                0.28454,                0.19177,                 1.6122,                 2.7226,                 1.6387,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     37,                 1.7582,                 3.4236,                 1.7511,                0.59038,                0.25011,                0.28733,                0.19304,                 1.5918,                 2.6861,                 1.6245,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     38,                 1.8059,                  3.531,                 1.7953,                0.58622,                0.25946,                0.28791,                0.19647,                 1.5889,                  2.672,                 1.6303,              7.541e-05,              7.541e-05,              7.541e-05
                     39,                 1.8583,                 3.5833,                    1.8,                0.55563,                0.26425,                 0.2996,                0.20219,                 1.5905,                 2.6619,                 1.6254,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     40,                 1.8498,                 3.5545,                  1.799,                0.66915,                0.22573,                0.30048,                0.20674,                 1.5678,                  2.665,                 1.6199,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     41,                 1.8041,                 3.6231,                 1.7949,                0.67901,                0.22788,                 0.2995,                0.20888,                 1.5698,                 2.6376,                 1.6201,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     42,                 1.8319,                 3.5286,                 1.8407,                0.60906,                0.24499,                0.31886,                0.21388,                 1.5501,                  2.568,                 1.6056,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     43,                 1.7673,                 3.5842,                 1.7752,                0.68189,                0.24177,                0.31033,                0.21159,                 1.5336,                 2.5439,                 1.5885,              6.952e-05,              6.952e-05,              6.952e-05
                     44,                 1.8048,                 3.4945,                 1.7901,                0.68083,                0.24446,                0.31734,                0.21365,                 1.5335,                  2.565,                  1.577,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     45,                 1.7902,                 3.4765,                 1.7582,                0.67445,                0.25584,                 0.3239,                0.22309,                 1.5252,                  2.547,                 1.5728,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     46,                 1.8932,                 3.5694,                 1.8337,                0.47027,                0.34036,                0.33467,                0.23183,                 1.5201,                  2.533,                 1.5708,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     47,                 1.8421,                 3.3624,                 1.7958,                 0.4815,                0.33628,                0.34025,                0.23711,                 1.5202,                 2.5572,                 1.5726,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     48,                 1.8296,                 3.4625,                 1.7707,                  0.459,                0.33471,                0.33975,                 0.2403,                 1.5011,                  2.478,                 1.5487,             6.3629e-05,             6.3629e-05,             6.3629e-05
                     49,                 1.8158,                 3.3851,                 1.7713,                0.62165,                0.28158,                0.34155,                0.23485,                 1.5154,                 2.5091,                 1.5649,             6.2451e-05,             6.2451e-05,             6.2451e-05
