                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.4847,                 2.5754,                 1.5234,                0.48197,                0.36935,                0.40893,                0.29189,                 1.4417,                 2.1221,                 1.4728,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     34,                 1.6131,                 2.6178,                 1.5555,                0.50543,                0.37295,                0.41985,                0.30274,                 1.4167,                 2.0939,                 1.4606,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     35,                 1.5236,                 2.5763,                 1.5137,                0.54339,                0.39173,                0.44023,                0.31298,                  1.395,                 2.0371,                 1.4507,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     36,                 1.5477,                 2.5834,                 1.5587,                0.61053,                0.38825,                0.45454,                0.32572,                 1.3944,                 2.0009,                 1.4484,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     37,                 1.5416,                 2.4451,                 1.4954,                0.61663,                 0.4046,                0.47497,                 0.3418,                 1.3773,                 1.9591,                 1.4355,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     38,                 1.5528,                 2.4098,                 1.5042,                0.63467,                0.40478,                0.48385,                0.35092,                  1.368,                 1.9297,                 1.4271,              7.541e-05,              7.541e-05,              7.541e-05
                     39,                 1.5386,                 2.4466,                 1.5232,                0.59226,                 0.4182,                0.48996,                0.35351,                 1.3639,                 1.9151,                 1.4172,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     40,                 1.5522,                 2.3909,                 1.5053,                0.61989,                0.42282,                0.49398,                0.35387,                 1.3556,                 1.8994,                 1.4083,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     41,                 1.5217,                 2.3865,                 1.5035,                0.67524,                0.42168,                0.49823,                0.35809,                 1.3342,                 1.8718,                  1.399,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     42,                 1.5119,                 2.4392,                 1.5282,                0.68423,                0.42712,                0.50602,                0.36571,                 1.3245,                 1.8538,                 1.3953,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     43,                 1.5053,                 2.4178,                 1.5073,                0.68097,                0.42943,                0.50831,                 0.3689,                 1.3157,                 1.8453,                 1.3904,              6.952e-05,              6.952e-05,              6.952e-05
                     44,                 1.4965,                  2.327,                 1.4667,                0.72098,                0.42651,                0.51147,                0.37338,                 1.3141,                 1.8407,                 1.3881,             6.8342e-05,             6.8342e-05,             6.8342e-05
