                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.6151,                 1.7273,                  1.101,                0.52475,                0.62226,                0.61237,                0.54041,                0.51955,                  1.267,                 1.0469,             0.00011422,             0.00011422,             0.00011422
                     36,                0.61796,                 1.6737,                 1.1043,                0.56085,                0.61023,                0.60318,                0.53748,                0.50034,                 1.2854,                 1.0272,             0.00011332,             0.00011332,             0.00011332
                     37,                 0.6168,                 1.6524,                 1.1072,                0.54347,                0.64771,                0.62926,                0.55874,                0.48485,                 1.2396,                 1.0274,              0.0001124,              0.0001124,              0.0001124
                     38,                  0.613,                 1.6358,                 1.0978,                0.57075,                0.62209,                0.63242,                0.56985,                0.45842,                  1.193,                 1.0057,             0.00011146,             0.00011146,             0.00011146
                     39,                0.59873,                 1.6151,                 1.0893,                0.50953,                0.65938,                0.63372,                0.56238,                0.49174,                 1.2283,                 1.0334,              0.0001105,              0.0001105,              0.0001105
                     40,                0.59973,                  1.611,                 1.0863,                 0.6004,                0.65278,                0.66336,                0.59545,                0.48101,                 1.1704,                 1.0125,             0.00010952,             0.00010952,             0.00010952
                     41,                0.58753,                 1.5342,                 1.0817,                0.57859,                0.67828,                0.66611,                0.60589,                0.46062,                 1.1538,                0.99832,             0.00010851,             0.00010851,             0.00010851
                     42,                0.60907,                 1.5291,                 1.0929,                0.56098,                0.67555,                0.67198,                0.60333,                0.48988,                 1.1527,                 1.0133,             0.00010749,             0.00010749,             0.00010749
                     43,                0.59729,                 1.5477,                 1.0882,                0.60978,                0.67136,                0.68391,                0.60157,                0.53984,                  1.137,                 1.0263,             0.00010646,             0.00010646,             0.00010646
                     44,                0.58533,                 1.4934,                 1.0785,                0.57177,                0.68683,                0.69217,                0.62046,                0.47835,                 1.1263,                 1.0152,              0.0001054,              0.0001054,              0.0001054
                     45,                0.57772,                 1.5022,                 1.0766,                0.60112,                0.66663,                0.68984,                0.61971,                0.48389,                 1.1496,                 1.0065,             0.00010432,             0.00010432,             0.00010432
                     46,                0.57436,                 1.4623,                 1.0733,                0.59651,                0.68131,                0.68773,                0.62428,                0.44853,                 1.1078,                0.98931,             0.00010323,             0.00010323,             0.00010323
                     47,                0.58114,                 1.4497,                 1.0744,                0.65136,                0.68101,                0.71785,                0.63691,                0.51009,                 1.0581,                 1.0377,             0.00010212,             0.00010212,             0.00010212
                     48,                0.58736,                 1.4392,                 1.0773,                0.59427,                0.71717,                0.71465,                0.64792,                0.44936,                 1.0612,                 1.0149,               0.000101,               0.000101,               0.000101
                     49,                 0.5784,                 1.4273,                 1.0714,                  0.647,                0.69124,                0.71983,                0.64464,                0.49299,                 1.0449,                 1.0031,             9.9859e-05,             9.9859e-05,             9.9859e-05
                     50,                0.58009,                 1.4226,                 1.0767,                0.62711,                0.68711,                0.72566,                0.65702,                0.46562,                 1.0327,                 1.0021,             9.8703e-05,             9.8703e-05,             9.8703e-05
                     51,                0.57551,                 1.3878,                   1.07,                0.62704,                0.70329,                0.72529,                0.65665,                0.47833,                 1.0475,                 1.0194,             9.7532e-05,             9.7532e-05,             9.7532e-05
                     52,                0.56417,                 1.3815,                 1.0654,                0.68551,                0.66607,                0.73673,                 0.6681,                0.46255,                0.99666,                 1.0093,             9.6348e-05,             9.6348e-05,             9.6348e-05
                     53,                 0.5613,                 1.3679,                 1.0651,                0.64193,                 0.6898,                 0.7268,                0.64897,                 0.4949,                 1.0385,                0.99697,             9.5149e-05,             9.5149e-05,             9.5149e-05
                     54,                0.56204,                 1.3587,                 1.0616,                0.64608,                0.69674,                0.72759,                 0.6568,                0.47011,                 1.0007,                 1.0215,             9.3937e-05,             9.3937e-05,             9.3937e-05
                     55,                0.55027,                 1.3006,                  1.056,                0.66276,                0.71185,                0.74827,                0.68118,                0.45091,                0.96211,                 1.0049,             9.2713e-05,             9.2713e-05,             9.2713e-05
