                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0598,                 4.9838,                 2.6696,                  2e-05,                0.00227,                  2e-05,                  1e-05,                 3.9216,                 5.0843,                 3.4608,              3.689e-05,              3.689e-05,              3.689e-05
                      2,                 2.8943,                 4.8544,                  2.525,                  1e-05,                0.00222,                  1e-05,                      0,                 3.9202,                 5.0567,                 3.4776,             7.4228e-05,             7.4228e-05,             7.4228e-05
                      3,                 2.7292,                 4.7705,                 2.4221,                  1e-05,                0.00205,                  1e-05,                      0,                 3.9208,                 4.9042,                 3.4935,             0.00011081,             0.00011081,             0.00011081
                      4,                 2.6678,                 4.5043,                 2.3607,                  1e-05,                0.00216,                  2e-05,                      0,                 3.9297,                 4.9666,                  3.486,             0.00011547,             0.00011547,             0.00011547
                      5,                 2.5047,                 4.4794,                  2.278,                  2e-05,                0.00277,                  2e-05,                  1e-05,                 3.7505,                  4.963,                 3.3726,             0.00011429,             0.00011429,             0.00011429
                      6,                 2.4916,                 4.3885,                 2.2698,                0.00518,                0.01141,                0.00489,                0.00162,                 2.8936,                 4.5016,                 2.7482,             0.00011311,             0.00011311,             0.00011311
                      7,                 2.3287,                 4.2597,                  2.157,                0.03346,                0.02674,                0.02681,                0.01993,                 2.2729,                 4.0531,                  2.208,             0.00011193,             0.00011193,             0.00011193
                      8,                 2.2895,                 4.3892,                 2.1438,                0.05126,                0.04232,                0.04467,                0.03298,                 2.1295,                 3.9381,                 2.0628,             0.00011075,             0.00011075,             0.00011075
                      9,                  2.245,                 4.3463,                 2.0991,                0.06772,                0.06997,                 0.0634,                0.04377,                 2.0745,                  3.892,                 2.0199,             0.00010958,             0.00010958,             0.00010958
                     10,                 2.1881,                  4.232,                 2.0768,                0.06681,                0.08878,                0.07741,                0.05295,                  2.017,                  3.818,                  1.983,              0.0001084,              0.0001084,              0.0001084
                     11,                 2.1289,                 4.2022,                 2.0391,                0.06642,                0.09853,                0.08698,                 0.0593,                 1.9874,                 3.7496,                 1.9593,             0.00010722,             0.00010722,             0.00010722
                     12,                 2.1713,                 4.0293,                 2.0074,                0.10206,                0.12664,                0.11776,                0.07817,                 1.9371,                 3.6835,                 1.9149,             0.00010604,             0.00010604,             0.00010604
                     13,                 2.0972,                 4.0723,                 2.0027,                0.08722,                0.12941,                0.10959,                0.07162,                 1.9196,                 3.6233,                 1.8785,             0.00010486,             0.00010486,             0.00010486
                     14,                 2.0905,                 4.0226,                 1.9844,                0.10446,                0.13731,                0.12252,                 0.0796,                 1.9043,                 3.5615,                 1.8515,             0.00010368,             0.00010368,             0.00010368
                     15,                 2.0064,                 4.0038,                 1.9287,                0.10662,                0.15213,                0.13157,                0.08911,                 1.8715,                 3.4847,                 1.8247,             0.00010251,             0.00010251,             0.00010251
                     16,                 2.0325,                  3.902,                 1.8597,                0.12769,                0.19601,                0.16076,                 0.1127,                 1.8315,                 3.3965,                 1.7995,             0.00010133,             0.00010133,             0.00010133
                     17,                 1.9826,                 3.8626,                 1.8663,                0.11025,                 0.2202,                0.16633,                0.12009,                 1.8049,                 3.3262,                 1.7816,             0.00010015,             0.00010015,             0.00010015
                     18,                 1.9938,                 3.8033,                 1.9281,                0.10564,                0.23413,                0.17374,                0.11808,                 1.7876,                 3.2598,                 1.7723,             9.8972e-05,             9.8972e-05,             9.8972e-05
