                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1118,                 3.8817,                 1.3044,                0.04943,                0.18012,                0.05474,                0.03899,                0.90337,                 3.0871,                 1.1373,                8.3e-05,                8.3e-05,                8.3e-05
                      2,                 1.0933,                 3.1606,                 1.2799,                0.13181,                 0.1749,                0.07486,                0.05268,                 1.0567,                 2.9361,                 1.2819,             0.00016524,             0.00016524,             0.00016524
                      3,                 1.1143,                 3.0121,                 1.3084,                  0.127,                 0.2542,                0.08723,                0.06324,                 1.0082,                 2.8189,                 1.2398,             0.00024637,             0.00024637,             0.00024637
                      4,                 1.1145,                 2.8634,                 1.2961,                0.10548,                0.20626,                0.09065,                0.06279,                 1.0091,                 2.6903,                 1.2534,             0.00024505,             0.00024505,             0.00024505
                      5,                 1.0884,                 2.8049,                 1.2995,                0.11236,                0.25197,                0.11952,                0.08963,                0.94655,                 2.6381,                  1.221,              0.0002434,              0.0002434,              0.0002434
                      6,                 1.0802,                 2.6731,                  1.286,                0.16664,                0.24142,                0.14595,                 0.1048,                0.95611,                 2.5363,                 1.2263,             0.00024175,             0.00024175,             0.00024175
                      7,                 1.0509,                  2.599,                 1.2654,                0.16827,                0.24548,                0.15434,                0.11243,                0.96564,                 2.5411,                 1.2176,              0.0002401,              0.0002401,              0.0002401
                      8,                 1.0195,                  2.498,                  1.247,                0.18156,                0.31419,                0.18038,                0.13223,                0.92105,                 2.3623,                 1.1795,             0.00023845,             0.00023845,             0.00023845
                      9,                  1.005,                 2.4097,                 1.2363,                0.26013,                0.25832,                0.21051,                0.15799,                0.92439,                 2.3035,                 1.1992,              0.0002368,              0.0002368,              0.0002368
                     10,                0.97226,                 2.3544,                 1.2227,                0.19814,                0.31716,                0.20324,                0.15147,                0.88996,                 2.2952,                 1.1746,             0.00023515,             0.00023515,             0.00023515
                     11,                   0.96,                  2.283,                 1.2118,                0.24829,                0.31701,                0.23449,                0.17897,                0.92232,                 2.2251,                 1.1904,              0.0002335,              0.0002335,              0.0002335
                     12,                0.96447,                 2.2082,                 1.2108,                0.23356,                0.34104,                0.23577,                0.17668,                0.92951,                 2.2187,                 1.1944,             0.00023185,             0.00023185,             0.00023185
                     13,                0.94195,                  2.133,                 1.2028,                0.25145,                0.32557,                0.25778,                0.19946,                  0.878,                 2.1112,                  1.169,              0.0002302,              0.0002302,              0.0002302
                     14,                0.91949,                 2.0731,                 1.1863,                0.25648,                0.35996,                0.25065,                0.19551,                0.84406,                 2.1531,                 1.1545,             0.00022855,             0.00022855,             0.00022855
                     15,                0.92231,                 2.0283,                 1.1898,                 0.2594,                0.32018,                0.26473,                0.20531,                0.84663,                 2.1076,                 1.1421,              0.0002269,              0.0002269,              0.0002269
                     16,                0.91626,                 1.9635,                 1.1786,                 0.2932,                0.30923,                0.27042,                0.21357,                0.84825,                 2.1917,                 1.1545,             0.00022525,             0.00022525,             0.00022525
                     17,                0.90373,                 1.9284,                 1.1778,                0.31973,                 0.3364,                0.30027,                0.23569,                0.84267,                  2.078,                 1.1513,              0.0002236,              0.0002236,              0.0002236
                     18,                0.89316,                 1.8646,                 1.1619,                 0.3428,                0.35323,                 0.3259,                0.25067,                0.86156,                 1.9736,                 1.1514,             0.00022195,             0.00022195,             0.00022195
                     19,                0.87695,                 1.7886,                 1.1624,                0.34573,                0.39068,                0.33772,                0.26503,                0.85328,                 1.9897,                 1.1552,              0.0002203,              0.0002203,              0.0002203
                     20,                0.86267,                 1.7504,                 1.1547,                0.33722,                0.35406,                0.32022,                0.25205,                0.84087,                 2.0766,                   1.15,             0.00021865,             0.00021865,             0.00021865
                     21,                 0.8714,                 1.6863,                 1.1524,                0.38585,                0.37521,                0.35633,                0.28225,                0.84882,                 1.9415,                 1.1469,               0.000217,               0.000217,               0.000217
                     22,                0.84599,                 1.6568,                 1.1337,                0.37025,                0.37766,                0.34061,                0.27147,                0.82101,                 1.9684,                 1.1351,             0.00021535,             0.00021535,             0.00021535
                     23,                0.84962,                 1.6206,                 1.1398,                0.41769,                0.36531,                0.35392,                0.28007,                0.84952,                 1.9936,                 1.1443,              0.0002137,              0.0002137,              0.0002137
                     24,                0.83096,                 1.5619,                 1.1307,                0.37153,                0.41382,                0.36303,                0.28472,                 0.8486,                 1.9447,                 1.1558,             0.00021205,             0.00021205,             0.00021205
                     25,                0.82142,                 1.5223,                  1.123,                0.43316,                0.37852,                0.38256,                0.30824,                0.81013,                 1.9265,                 1.1173,              0.0002104,              0.0002104,              0.0002104
                     26,                0.81453,                 1.4957,                 1.1175,                0.36974,                0.43979,                0.37345,                0.30011,                0.79957,                 1.9426,                 1.1269,             0.00020875,             0.00020875,             0.00020875
                     27,                0.79195,                 1.4534,                 1.1157,                0.37378,                0.42918,                0.38365,                 0.3073,                0.81836,                 1.9061,                 1.1238,              0.0002071,              0.0002071,              0.0002071
                     28,                0.79118,                 1.3796,                 1.1048,                0.42614,                0.41009,                0.39937,                0.31682,                0.81356,                 1.8602,                 1.1192,             0.00020545,             0.00020545,             0.00020545
                     29,                0.78823,                 1.3419,                 1.1011,                0.42109,                0.40078,                0.39759,                0.31593,                0.81496,                 1.8911,                 1.1187,              0.0002038,              0.0002038,              0.0002038
                     30,                0.79489,                 1.3401,                 1.0989,                0.54917,                0.35981,                0.41446,                0.33646,                0.80491,                 1.8448,                 1.1217,             0.00020215,             0.00020215,             0.00020215
                     31,                0.78244,                 1.2811,                 1.0923,                0.43729,                0.42344,                 0.4052,                0.32447,                0.82726,                 1.8306,                 1.1374,              0.0002005,              0.0002005,              0.0002005
                     32,                0.77681,                 1.2642,                 1.0925,                 0.4096,                 0.4388,                0.40886,                0.32773,                0.82523,                 1.8676,                 1.1382,             0.00019885,             0.00019885,             0.00019885
                     33,                0.76132,                 1.2557,                 1.0844,                0.47603,                 0.4177,                0.42685,                0.34448,                0.80487,                 1.8451,                 1.1201,              0.0001972,              0.0001972,              0.0001972
                     34,                0.76035,                 1.1951,                  1.083,                0.41129,                0.43067,                0.41148,                0.33282,                0.79954,                 1.8412,                 1.1127,             0.00019555,             0.00019555,             0.00019555
