                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0258,                 4.7986,                 2.5468,                  1e-05,                0.00189,                  1e-05,                      0,                 3.8787,                 5.1011,                 3.4326,               3.57e-06,               3.57e-06,               3.57e-06
                      2,                 3.0239,                 4.7663,                 2.5148,                  1e-05,                  0.002,                  4e-05,                  1e-05,                 3.8784,                 5.1017,                  3.433,             8.2475e-06,             8.2475e-06,             8.2475e-06
                      3,                 2.9125,                 4.6457,                 2.5061,                  1e-05,                0.00205,                  1e-05,                      0,                  3.878,                 5.1016,                 3.4347,             1.2831e-05,             1.2831e-05,             1.2831e-05
                      4,                 2.8279,                 4.6438,                 2.4453,                  1e-05,                  0.002,                  1e-05,                      0,                 3.8784,                 5.1017,                 3.4357,              1.732e-05,              1.732e-05,              1.732e-05
                      5,                 2.7759,                  4.519,                 2.3839,                  1e-05,                  0.002,                  1e-05,                      0,                 3.8781,                 5.1015,                 3.4368,             2.1715e-05,             2.1715e-05,             2.1715e-05
                      6,                 2.6453,                 4.4274,                 2.3407,                  1e-05,                  0.002,                  1e-05,                      0,                 3.8782,                 5.0948,                  3.439,             2.6015e-05,             2.6015e-05,             2.6015e-05
                      7,                 2.4855,                 4.4356,                 2.2337,                  1e-05,                  0.002,                  1e-05,                      0,                 3.8779,                  5.096,                 3.4411,             3.0221e-05,             3.0221e-05,             3.0221e-05
                      8,                 2.4257,                 4.3909,                 2.1932,                  1e-05,                  0.002,                  1e-05,                      0,                 3.8773,                 5.0591,                  3.443,             3.4334e-05,             3.4334e-05,             3.4334e-05
                      9,                 2.4013,                 4.2884,                 2.1263,                  1e-05,                  0.002,                  1e-05,                      0,                 3.8763,                 5.0625,                 3.4457,             3.8351e-05,             3.8351e-05,             3.8351e-05
                     10,                 2.3092,                 4.2176,                 2.1143,                  1e-05,                  0.002,                  1e-05,                      0,                 3.8757,                 5.0655,                  3.448,             4.2275e-05,             4.2275e-05,             4.2275e-05
                     11,                 2.0835,                 4.0655,                 1.9574,                  1e-05,                  0.002,                  1e-05,                      0,                 3.8757,                 5.0702,                 3.4501,             4.6104e-05,             4.6104e-05,             4.6104e-05
                     12,                 2.1027,                 3.9465,                 1.9917,                  1e-05,                  0.002,                  1e-05,                      0,                 3.8745,                 5.0764,                  3.453,             4.9839e-05,             4.9839e-05,             4.9839e-05
                     13,                 2.0438,                 4.0485,                 1.9236,                  1e-05,                  0.002,                  1e-05,                      0,                 3.8733,                 5.0815,                 3.4558,              5.348e-05,              5.348e-05,              5.348e-05
                     14,                 1.9617,                 3.8428,                 1.8835,                  1e-05,                  0.002,                  1e-05,                      0,                 3.8724,                 5.0813,                 3.4583,             5.7027e-05,             5.7027e-05,             5.7027e-05
                     15,                 1.9581,                 3.7793,                 1.8428,                  1e-05,                  0.002,                  1e-05,                      0,                 3.8709,                 4.9131,                 3.4612,             6.0479e-05,             6.0479e-05,             6.0479e-05
                     16,                 1.9002,                 3.7547,                 1.8223,                  1e-05,                0.00211,                  1e-05,                      0,                 3.8691,                 4.9201,                  3.464,             6.3837e-05,             6.3837e-05,             6.3837e-05
                     17,                 1.9343,                 3.6604,                 1.8314,                  1e-05,                0.00205,                  1e-05,                      0,                 3.8682,                 4.9225,                  3.467,             6.7101e-05,             6.7101e-05,             6.7101e-05
                     18,                 1.8537,                 3.6343,                 1.7729,                  1e-05,                0.00222,                  1e-05,                      0,                 3.8655,                 4.9261,                 3.4698,              7.027e-05,              7.027e-05,              7.027e-05
