                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1994,                 4.4523,                 1.3323,                0.08129,                0.10893,                0.02733,                0.01966,                 1.0097,                 3.4231,                 1.2259,                8.3e-05,                8.3e-05,                8.3e-05
                      2,                 1.1679,                 3.9117,                 1.3191,                0.09895,                0.16158,                0.04103,                 0.0306,                 1.0479,                 3.1785,                 1.2525,             0.00016632,             0.00016632,             0.00016632
                      3,                 1.1571,                 3.6578,                 1.3087,                0.05933,                0.19413,                0.04895,                0.03517,                 1.0531,                 3.1006,                 1.2458,             0.00024956,             0.00024956,             0.00024956
                      4,                 1.1554,                 3.4805,                 1.2903,                 0.1002,                0.17267,                0.06447,                0.04824,                 1.0037,                  2.994,                 1.2002,             0.00024976,             0.00024976,             0.00024976
                      5,                 1.1401,                 3.3916,                 1.2766,                 0.0938,                0.18409,                0.06856,                0.05117,                  1.004,                 2.9056,                 1.2134,             0.00024957,             0.00024957,             0.00024957
                      6,                 1.1336,                 3.2684,                 1.2705,                0.08534,                0.23403,                0.08141,                0.05834,                 0.9862,                 2.7811,                 1.1815,             0.00024932,             0.00024932,             0.00024932
                      7,                 1.1101,                 3.1741,                 1.2564,                0.08354,                0.21477,                0.07564,                0.05369,                  1.015,                  2.816,                 1.2092,             0.00024902,             0.00024902,             0.00024902
                      8,                 1.0864,                 3.0697,                 1.2346,                0.09907,                0.22934,                0.08803,                0.06366,                 1.0106,                 2.8013,                  1.192,             0.00024867,             0.00024867,             0.00024867
                      9,                  1.084,                 2.9915,                 1.2303,                0.12835,                0.25175,                0.09731,                0.07301,                 0.9934,                 2.7773,                 1.1829,             0.00024827,             0.00024827,             0.00024827
                     10,                 1.0716,                 2.9229,                 1.2297,                0.14366,                0.22834,                0.11807,                0.08817,                0.97247,                 2.6303,                 1.1863,             0.00024781,             0.00024781,             0.00024781
                     11,                 1.0587,                 2.8619,                 1.2207,                0.13963,                0.24404,                0.11299,                0.08219,                0.99302,                 2.6572,                 1.1863,              0.0002473,              0.0002473,              0.0002473
                     12,                 1.0753,                 2.8058,                 1.2224,                0.15101,                0.28065,                0.12874,                0.09611,                0.97361,                 2.6089,                 1.1845,             0.00024673,             0.00024673,             0.00024673
                     13,                 1.0566,                 2.7516,                 1.2155,                0.14097,                0.27292,                0.13849,                0.10252,                0.96957,                 2.5522,                 1.1897,             0.00024611,             0.00024611,             0.00024611
                     14,                 1.0365,                 2.7065,                 1.2034,                0.20284,                0.25045,                 0.1607,                0.12385,                0.94814,                 2.5062,                 1.1612,             0.00024544,             0.00024544,             0.00024544
                     15,                  1.048,                 2.6637,                 1.2081,                0.14921,                0.27215,                0.15398,                0.11882,                0.97296,                 2.5007,                  1.173,             0.00024472,             0.00024472,             0.00024472
                     16,                 1.0295,                 2.5955,                 1.1976,                0.15343,                0.29288,                0.14672,                0.11134,                0.96609,                 2.6191,                   1.18,             0.00024394,             0.00024394,             0.00024394
                     17,                 1.0442,                 2.6004,                  1.205,                0.16487,                0.27326,                0.15598,                0.11817,                0.96708,                 2.5377,                 1.1708,             0.00024312,             0.00024312,             0.00024312
                     18,                 1.0334,                 2.5471,                 1.1935,                0.19114,                0.26024,                0.17108,                 0.1263,                0.98848,                 2.4921,                 1.1877,             0.00024224,             0.00024224,             0.00024224
                     19,                 1.0206,                 2.4974,                 1.1921,                0.19174,                0.27875,                 0.1728,                0.13217,                0.94928,                 2.4715,                 1.1648,             0.00024131,             0.00024131,             0.00024131
