                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93119,                 4.7753,                 1.3478,                0.02435,                0.43619,                0.02989,                0.02543,                0.49217,                 3.7865,                  1.045,             6.4381e-05,             6.4381e-05,             6.4381e-05
                      2,                0.66255,                 4.2691,                 1.1396,                0.02232,                0.88111,                0.05127,                0.04469,                0.57881,                 3.1932,                 1.0949,             0.00012937,             0.00012937,             0.00012937
                      3,                0.70188,                 3.9124,                 1.1562,                0.26735,                 0.1755,                0.08339,                0.06818,                0.68609,                 2.8703,                  1.143,             0.00012994,             0.00012994,             0.00012994
